290,19.5,146
279,17.09,91
706,22.79,118
356,12.12,71
138,17.64,137
284,13.38,99
452,22.73,96
13,19.96,91
116,16.44,73
634,11.36,105
235,10.47,127
631,17.44,80
290,16.02,115
188,18.03,147
23,11.32,105
109,19.31,62
562,11.94,129
431,19.24,116
531,16.54,54
146,21.54,137
644,12.39,144
454,22.12,71
767,15.85,76
100,13.87,91
586,11.07,83
280,17.19,121
176,13.15,62
284,16.87,52
785,24.54,68
78,15.81,110
19,12.99,95
606,22.71,132
774,12.26,144
299,10.09,59
749,20.67,147
615,13.91,96
313,21.8,59
762,15.89,149
360,20.28,125
428,18.59,93
54,14.73,102
505,15.8,63
2,10.31,87
669,18.38,108
543,24.38,144
221,13.05,71
426,24.22,111
554,23.28,99
114,10.16,80
602,22.22,116
260,11.27,77
328,22.99,62
304,11.82,131
27,11.45,77
238,17.59,67
162,20.94,137
342,17.98,78
446,20.97,133
513,12.09,51
499,16.51,125
419,20.25,58
492,10.65,79
738,21.61,139
737,12.33,121
547,23.13,133
659,21.61,150
671,12.96,99
32,21.27,133
756,20.78,107
19,12.5,144
467,18.62,62
656,13.11,80
768,24.23,82
698,15.72,58
15,22.91,79
161,17.51,150
61,19.11,70
340,10.94,77
268,15.06,88
692,18.55,105
82,22.7,90
531,14.63,89
67,12.92,68
555,22.65,86
627,21.33,143
95,13.34,95
102,11.69,50
798,18.1,136
530,12.77,103
173,17.31,84
223,24.5,131
497,24.17,71
295,12.16,137
150,21.11,110
322,12.74,148
1,14.63,88
166,14.29,126
482,10.54,67
617,22.98,61
76,10.22,90
357,14.31,122
560,10.89,89
309,19.76,138
349,11.74,86
747,15.41,125
109,18.33,125
458,22.56,122
46,23.11,118
240,16.63,83
412,10.38,131
287,13.01,84
66,14.57,88
338,19.72,137
497,24.47,117
44,23.73,110
692,17.59,115
581,16.44,128
300,18.71,143
650,19.36,121
9,18.77,97
616,17.21,103
380,16.44,50
137,20.86,135
214,22.97,96
154,15.78,77
254,13.66,69
316,20.52,125
562,10.54,112
699,24.73,92
390,21.64,57
128,18.0,62
769,18.57,86
342,21.25,136
16,16.67,96
444,22.45,138
171,24.86,65
489,21.22,102
762,16.54,117
177,12.43,104
268,24.06,113
310,16.7,125
627,19.7,54
232,18.12,111
759,19.2,106
428,21.64,128
379,13.62,75
458,12.49,60
408,18.25,86
330,23.55,73
174,12.21,83
597,16.2,80
163,17.29,147
224,15.3,55
463,16.33,55
427,22.7,82
521,13.07,64
194,13.12,81
208,10.52,121
175,18.56,82
7,14.97,147
1,19.17,84
753,11.62,86
378,11.91,90
770,22.09,97
516,24.01,84
612,14.36,64
165,15.59,110
619,12.57,123
752,15.69,86
737,23.28,150
292,11.45,60
533,24.34,113
678,12.73,140
662,25.0,108
361,20.8,109
243,12.95,148
114,15.57,146
7,12.58,119
44,23.71,126
188,11.72,140
488,17.3,133
229,24.06,147
700,16.46,64
403,17.24,131
189,17.06,68
315,14.54,111
76,10.38,64
6,21.52,91
187,11.14,102
295,16.72,67
790,20.47,114
247,12.09,51
663,16.63,142
321,20.07,109
338,24.03,84
259,14.07,89
695,18.72,69
724,21.43,137
441,17.51,61
671,19.27,65
210,11.44,60
181,16.42,102
744,17.45,147
89,13.82,107
140,22.9,136
683,10.44,132
265,11.27,80
216,10.27,70
345,10.99,66
64,19.02,93
636,19.69,89
568,22.11,140
297,21.25,68
295,13.83,130
164,14.36,118
33,16.59,85
563,22.38,85
162,13.82,119
654,20.92,149
420,19.33,114
689,18.73,148
425,24.73,117
246,22.99,134
249,24.49,64
680,23.57,106
657,12.78,77
653,15.33,74
